,Latitude_h,Longitude_h,amenity_Referral Hospital,amenity_Teaching Hospital,amenity_Type A Hospital,amenity_Type B Hospital,amenity_Type C Hospital,amenity_Type D Hospital,amenity_clinic,amenity_dentist,amenity_doctors,amenity_hospital,amenity_pharmacy
85,15.4869472,32.5659751,False,False,False,False,False,False,False,False,False,False,True
86,15.4923143,32.5622076,False,False,False,False,False,False,False,False,False,False,True
87,15.4881355,32.4993995,False,False,False,False,False,False,False,False,False,False,True
88,15.449688,32.4884377,False,False,False,False,False,False,False,False,False,False,True
89,15.4934378,32.4916878,False,False,False,False,False,False,False,False,False,False,True
90,15.6075029,32.4707046,False,False,False,False,False,False,False,False,False,False,True
91,15.5670664,32.5739,False,False,False,False,False,False,False,False,False,False,True
92,15.013706,33.0973942,False,False,False,False,False,False,False,False,False,False,True
93,15.2746866,32.9625404,False,False,False,False,False,False,False,False,False,False,True
94,15.6423642,32.4928205,False,False,False,False,False,False,True,False,False,False,False
95,15.2770427,32.9635887,False,False,False,False,False,False,True,False,False,False,False
96,15.646511,32.5017079,False,False,False,False,False,False,False,False,False,False,True
97,15.5621123,32.5439501,False,False,False,False,False,False,False,False,False,True,False
98,11.4626846,26.1301479,False,False,False,False,False,False,True,False,False,False,False
99,11.4617787,26.131453,False,False,False,False,False,False,False,False,False,False,True
100,15.5849886,32.5233092,False,False,False,False,False,False,False,False,False,False,True
101,15.635974,32.4897019,False,False,False,False,False,False,False,False,False,True,False
102,15.6115715,32.5591645,False,False,False,False,False,False,False,False,False,True,False
103,15.5996416,32.5347739,False,False,False,False,False,False,False,False,False,True,False
104,15.5981035,32.5294337,False,False,False,False,False,False,False,False,False,True,False
105,15.5975651,32.5295667,False,False,False,False,False,False,False,False,False,True,False
106,15.6123042,32.5453181,False,False,False,False,False,False,False,False,False,True,False
107,15.6471631,32.4892178,False,False,False,False,False,False,False,False,False,True,False
108,15.7801458,32.5820848,False,False,False,False,False,False,False,False,False,True,False
109,15.6411877,32.4866867,False,False,False,False,False,False,False,False,False,True,False
110,15.5672084,32.5513001,False,False,False,False,False,False,False,False,False,True,False
111,15.6371718,32.4823752,False,False,False,False,False,False,False,False,False,True,False
112,15.5995512,32.5709038,False,False,False,False,False,False,False,False,False,True,False
113,15.641767,32.4939567,False,False,False,False,False,False,False,False,False,True,False
114,15.5986224,32.5294018,False,False,False,False,False,False,False,False,False,True,False
115,15.6124025,32.559641,False,False,False,False,False,False,False,False,False,True,False
116,15.5564375,32.5863113,False,False,False,False,False,False,False,False,False,False,True
117,15.553812,32.5901871,False,False,False,False,False,False,False,False,False,False,True
118,15.5536871,32.5806885,False,False,False,False,False,False,False,False,False,False,True
119,15.5510626,32.5808144,False,False,False,False,False,False,False,False,False,False,True
120,15.5523129,32.5803108,False,False,False,False,False,False,False,False,False,False,True
121,15.6917653,32.4768026,False,False,False,False,False,False,False,True,False,False,False
122,14.3970698,33.5200904,False,False,False,False,False,False,False,False,False,False,True
123,15.6065626,32.5635643,False,False,False,False,False,False,False,False,False,False,True
124,15.5731571,32.5351839,False,False,False,False,False,False,False,True,False,False,False
125,15.5654581,32.5362994,False,False,False,False,False,False,False,False,False,False,True
126,15.5778498,32.5421015,False,False,False,False,False,False,False,False,False,False,True
127,15.5883121,32.5764389,False,False,False,False,False,False,False,False,False,False,True
128,15.5040073,32.5712155,False,False,False,False,False,False,False,False,False,False,True
129,15.6514378,32.4891891,False,False,False,False,False,False,False,False,False,False,True
130,15.6563129,32.4855614,False,False,False,False,False,False,False,False,False,False,True
131,15.651063,32.484314,False,False,False,False,False,False,False,False,False,False,True
132,15.6413126,32.4799385,False,False,False,False,False,False,False,False,False,False,True
133,15.6368122,32.4818115,False,False,False,False,False,False,False,False,False,False,True
134,15.635438,32.4814377,False,False,False,False,False,False,False,False,False,False,True
135,15.6321878,32.4805641,False,False,False,False,False,False,False,False,False,False,True
136,15.6451874,32.4633141,False,False,False,False,False,False,False,False,False,False,True
137,15.6635628,32.4196892,False,False,False,False,False,False,False,False,False,False,True
138,15.6754379,32.4379387,False,False,False,False,False,False,False,False,False,False,True
139,15.6635628,32.4401894,False,False,False,False,False,False,False,False,False,False,True
140,15.7039375,32.4676857,False,False,False,False,False,False,False,False,False,False,True
141,15.6496878,32.4606857,False,False,False,False,False,False,False,False,False,False,True
142,15.6489372,32.4609375,False,False,False,False,False,False,False,False,False,False,True
143,15.5755884,32.576835,False,False,False,False,False,False,False,False,False,False,True
144,15.5736659,32.5771276,False,False,False,False,False,False,False,False,False,False,True
145,15.5784378,32.5764389,False,False,False,False,False,False,False,False,False,False,True
146,15.6593122,32.4570618,False,False,False,False,False,False,False,False,False,False,True
147,15.6606874,32.4559364,False,False,False,False,False,False,False,False,False,False,True
148,15.661437,32.4498138,False,False,False,False,False,False,False,False,False,False,True
149,15.7069378,32.4563141,False,False,False,False,False,False,False,False,False,False,True
150,15.6893129,32.461937,False,False,False,False,False,False,False,False,False,False,True
151,15.5905628,32.4506874,False,False,False,False,False,False,False,False,False,False,True
152,15.5880623,32.4573135,False,False,False,False,False,False,False,False,False,False,True
153,15.6480627,32.4364357,False,False,False,False,False,False,False,False,False,False,True
154,15.6246872,32.4500618,False,False,False,False,False,False,False,False,False,False,True
155,15.6299372,32.444561,False,False,False,False,False,False,False,False,False,False,True
156,15.6248121,32.4439392,False,False,False,False,False,False,False,False,False,False,True
157,15.6245623,32.4366875,False,False,False,False,False,False,False,False,False,False,True
158,15.6174374,32.4358139,False,False,False,False,False,False,False,False,False,False,True
159,15.6148129,32.4354362,False,False,False,False,False,False,False,False,False,False,True
160,15.6290627,32.4620628,False,False,False,False,False,False,False,False,False,False,True
161,15.6325626,32.4610634,False,False,False,False,False,False,False,False,False,False,True
162,15.6320629,32.4615631,False,False,False,False,False,False,False,False,False,False,True
163,15.6400623,32.4614372,False,False,False,False,False,False,False,False,False,False,True
164,15.5965624,32.4343109,False,False,False,False,False,False,False,False,False,False,True
165,15.5856876,32.4560623,False,False,False,False,False,False,False,False,False,False,True
166,15.5221872,32.6911888,False,False,False,False,False,False,False,False,False,False,True
167,15.5215626,32.689064,False,False,False,False,False,False,False,False,False,False,True
168,15.5694209,32.5379686,False,False,False,False,False,False,False,False,False,False,True
169,15.4924374,32.6315613,False,False,False,False,False,False,False,False,False,False,True
170,15.5020628,32.5941887,False,False,False,False,False,False,False,False,False,False,True
171,15.5040627,32.5718117,False,False,False,False,False,False,False,False,False,False,True
172,15.4931879,32.5654373,False,False,False,False,False,False,False,False,False,False,True
173,15.4899378,32.5510635,False,False,False,False,False,False,False,False,False,True,False
174,15.4911871,32.5534363,False,False,False,False,False,False,False,False,False,False,True
175,15.5754193,32.5343717,False,False,False,False,False,False,False,False,False,False,True
176,15.4816875,32.4928131,False,False,False,False,False,False,False,False,False,False,True
177,15.4810629,32.4888115,False,False,False,False,False,False,False,False,False,False,True
178,15.5306873,32.677063,False,False,False,False,False,False,False,False,False,False,True
179,15.4620628,32.4851875,False,False,False,False,False,False,False,False,False,False,True
180,15.4570627,32.4869385,False,False,False,False,False,False,False,False,False,False,True
181,15.4659376,32.4849358,False,False,False,False,False,False,False,False,False,False,True
182,15.4161873,32.4953117,False,False,False,False,False,False,False,False,False,False,True
183,15.4775629,32.4751892,False,False,False,False,False,False,False,False,False,False,True
184,15.6521761,32.6129241,False,False,False,False,False,False,False,False,False,False,True
185,13.2867502,34.8529902,False,False,False,False,False,False,True,False,False,False,False
186,15.4924374,32.4846878,False,False,False,False,False,False,False,False,False,False,True
187,15.493063,32.4889374,False,False,False,False,False,False,False,False,False,False,True
188,15.5186872,32.4875641,False,False,False,False,False,False,False,False,False,False,True
189,15.560813,32.5003128,False,False,False,False,False,False,False,False,False,False,True
190,15.6413356,32.5264074,False,False,False,False,False,False,False,False,False,False,True
191,15.4589376,32.5039368,False,False,False,False,False,False,False,False,False,False,True
192,15.6445416,32.4889191,False,False,False,False,False,False,False,False,False,False,True
193,15.6509245,32.5313777,False,False,False,False,False,False,False,False,False,False,True
194,15.5408125,32.5405617,False,False,False,False,False,False,False,False,False,False,True
195,15.5376873,32.5406876,False,False,False,False,False,False,False,False,False,False,True
196,15.5354376,32.5413132,False,False,False,False,False,False,False,False,False,False,True
197,15.5323124,32.5116882,False,False,False,False,False,False,False,False,False,False,True
198,15.5503583,32.5651645,False,False,False,False,False,False,False,False,False,False,True
199,15.5341873,32.527813,False,False,False,False,False,False,False,False,False,False,True
200,15.5419378,32.5403137,False,False,False,False,False,False,False,False,False,False,True
201,15.5331879,32.5418129,False,False,False,False,False,False,False,False,False,False,True
202,15.5466871,32.524189,False,False,False,False,False,False,False,False,False,False,True
203,15.6101241,32.6199357,False,False,False,False,False,False,False,False,False,False,True
204,15.5099373,32.4994392,False,False,False,False,False,False,False,False,False,False,True
205,15.5235624,32.5040627,False,False,False,False,False,False,False,False,False,False,True
206,15.5341873,32.5261879,False,False,False,False,False,False,False,False,False,False,True
207,15.5323124,32.5264359,False,False,False,False,False,False,False,False,False,False,True
208,15.5274372,32.5273132,False,False,False,False,False,False,False,False,False,False,True
209,15.5221872,32.5150642,False,False,False,False,False,False,False,False,False,False,True
210,15.5210629,32.520813,False,False,False,False,False,False,False,False,False,False,True
211,15.5254374,32.5131874,False,False,False,False,False,False,False,False,False,False,True
212,15.5191879,32.4980621,False,False,False,False,False,False,False,False,False,False,True
213,15.5205622,32.5366859,False,False,False,False,False,False,False,False,False,False,True
214,15.5386877,32.5255623,False,False,False,False,False,False,False,False,False,False,True
215,15.5271873,32.5238113,False,False,False,False,False,False,False,False,False,False,True
216,15.5285625,32.5354385,False,False,False,False,False,False,False,False,False,False,True
217,15.5384378,32.5825615,False,False,False,False,False,False,False,False,False,False,True
218,15.5233126,32.5020638,False,False,False,False,False,False,True,False,False,False,False
219,15.7325621,32.578186,False,False,False,False,False,False,False,False,False,False,True
220,15.6979318,32.505882,False,False,False,False,False,False,False,True,False,False,False
221,15.6474371,32.531311,False,False,False,False,False,False,False,False,False,False,True
222,15.6281872,32.5356865,False,False,False,False,False,False,False,False,False,False,True
223,15.638759,32.5310923,False,False,False,False,False,False,False,False,True,False,False
224,15.7015629,32.5583115,False,False,False,False,False,False,False,False,False,False,True
225,15.6291876,32.5249367,False,False,False,False,False,False,False,False,False,False,True
226,14.1405279,34.3333338,False,False,False,False,False,False,True,False,False,False,False
227,15.6416874,32.5390625,False,False,False,False,False,False,False,False,False,False,True
228,15.6453123,32.5418129,False,False,False,False,False,False,False,False,False,False,True
229,15.7036877,32.555687,False,False,False,False,False,False,False,False,False,False,True
230,15.6356878,32.5730629,False,False,False,False,False,False,False,False,False,False,True
231,15.5280628,32.5304375,False,False,False,False,False,False,False,False,False,False,True
232,15.5373125,32.5828133,False,False,False,False,False,False,False,False,False,False,True
233,15.5253124,32.5144386,False,False,False,False,False,False,False,False,False,False,True
234,15.6126737,32.6079175,False,False,False,False,False,False,False,False,False,False,True
235,15.6041203,32.6061655,False,False,False,False,False,False,False,False,False,False,True
236,15.6561295,32.443134,False,False,False,False,False,False,False,False,False,False,True
237,14.738862,33.3035406,False,False,False,False,False,False,False,False,False,False,True
238,14.7315018,33.3042418,False,False,False,False,False,False,False,False,False,False,True
239,14.7469753,33.3011619,False,False,False,False,False,False,False,False,False,False,True
240,14.7475204,33.299734,False,False,False,False,False,False,False,False,False,False,True
241,14.7382846,33.3027464,False,False,False,False,False,False,False,False,False,False,True
242,14.7360227,33.3019716,False,False,False,False,False,False,False,False,False,False,True
243,14.7384342,33.2992412,False,False,False,False,False,False,False,False,False,False,True
244,14.7364593,33.2990965,False,False,False,False,False,False,False,False,False,False,True
245,15.5967196,32.6323078,False,False,False,False,False,False,False,False,False,False,True
246,15.5980614,32.6217425,False,False,False,False,False,False,False,False,False,False,True
247,15.5987057,32.6161125,False,False,False,False,False,False,False,False,False,False,True
248,15.5961738,32.6366917,False,False,False,False,False,False,False,False,False,False,True
249,15.6608124,32.5684357,False,False,False,False,False,False,False,False,False,False,True
250,15.6358042,32.5698419,False,False,False,False,False,False,False,False,False,False,True
251,15.5989452,32.6135573,False,False,False,False,False,False,False,False,False,False,True
252,15.5971215,32.6288218,False,False,False,False,False,False,False,False,False,False,True
253,15.6258466,32.5600706,False,False,False,False,False,False,False,False,False,False,True
254,15.7313135,32.4850695,False,False,False,False,False,False,False,False,False,False,True
255,15.7078599,32.5094985,False,False,False,False,False,False,False,False,False,False,True
256,15.7201852,32.5134226,False,False,False,False,False,False,False,False,False,False,True
257,15.7087399,32.5097569,False,False,False,False,False,False,False,False,False,False,True
258,15.6793861,32.4982015,False,False,False,False,False,False,False,False,False,False,True
259,15.4907346,32.6377174,False,False,False,False,False,False,False,False,False,False,True
260,15.5258871,32.5186155,False,False,False,False,False,False,False,False,False,False,True
261,15.6156292,32.6281436,False,False,False,False,False,False,False,False,False,False,True
262,15.595608,32.6367631,False,False,False,False,False,False,False,False,False,False,True
263,15.592717,32.5721653,False,False,False,False,False,False,False,False,False,False,True
264,15.6041157,32.616183,False,False,False,False,False,False,False,False,False,False,True
265,15.6792913,32.499208,False,False,False,False,False,False,False,False,False,False,True
266,15.5911021,32.6152689,False,False,False,False,False,False,False,False,False,False,True
267,15.6084156,32.6334418,False,False,False,False,False,False,False,False,False,False,True
268,15.613274,32.627792,False,False,False,False,False,False,False,False,False,False,True
269,15.6110222,32.6146817,False,False,False,False,False,False,False,False,False,False,True
270,15.611568,32.612011,False,False,False,False,False,False,False,False,False,False,True
271,15.6056114,32.6383469,False,False,False,False,False,False,False,False,False,False,True
272,15.6118581,32.6277923,False,False,False,False,False,False,False,False,False,False,True
273,15.6123177,32.6275105,False,False,False,False,False,False,False,False,False,False,True
274,15.603976,32.6209868,False,False,False,False,False,False,False,False,False,False,True
275,15.6033235,32.6251482,False,False,False,False,False,False,False,False,False,False,True
276,15.6013697,32.6372843,False,False,False,False,False,False,False,False,False,False,True
277,15.6029809,32.6273265,False,False,False,False,False,False,False,False,False,False,True
278,15.5988814,32.6175424,False,False,False,False,False,False,False,False,False,False,True
279,15.5971133,32.6291547,False,False,False,False,False,False,False,False,False,False,True
280,15.6098477,32.6270421,False,False,False,False,False,False,False,False,False,False,True
281,15.6068125,32.5683136,False,False,False,False,False,False,False,False,False,False,True
282,15.5847363,32.5384827,False,False,False,False,False,False,False,False,False,False,True
283,15.584555,32.5350837,False,False,False,False,False,False,False,False,False,False,True
284,15.6811978,32.4985868,False,False,False,False,False,False,False,False,False,False,True
285,15.6068963,32.5682389,False,False,False,False,False,False,False,False,False,False,True
286,15.6735092,32.486104,False,False,False,False,False,False,False,False,False,False,True
287,15.7004651,32.4856521,False,False,False,False,False,False,False,False,False,False,True
288,15.719672,32.4858789,False,False,False,False,False,False,False,False,False,False,True
289,15.7204823,32.485838,False,False,False,False,False,False,False,False,False,False,True
290,15.7042298,32.4859203,False,False,False,False,False,False,False,False,False,False,True
291,15.6831228,32.485534,False,False,False,False,False,False,False,False,False,False,True
292,15.6990191,32.4851532,False,False,False,False,False,False,False,False,False,False,True
293,15.6903429,32.4853356,False,False,False,False,False,False,False,False,False,False,True
294,18.0451058,30.9554371,False,False,False,False,False,False,True,False,False,False,False
295,15.7308329,32.4597376,False,False,False,False,False,False,False,False,False,False,True
296,15.7283544,32.4598127,False,False,False,False,False,False,False,False,False,False,True
297,15.7170921,32.521378,False,False,False,False,False,False,False,False,False,False,True
298,15.7181023,32.4764772,False,False,False,False,False,False,False,False,False,False,True
299,15.6277862,32.4739258,False,False,False,False,False,False,False,False,False,True,False
300,15.6994909,32.5061198,False,False,False,False,False,False,False,False,False,False,True
301,15.7000848,32.5063719,False,False,False,False,False,False,False,False,False,False,True
302,15.6990623,32.5059642,False,False,False,False,False,False,False,False,False,False,True
303,15.5266521,32.5209947,False,False,False,False,False,False,False,False,False,False,True
304,15.7091505,32.4765802,False,False,False,False,False,False,False,False,False,False,True
305,15.4636297,32.5021776,False,False,False,False,False,False,False,False,False,False,True
306,15.6234578,32.5307316,False,False,False,False,False,False,False,False,False,False,True
307,19.1704144,30.4660215,False,False,False,False,False,False,True,False,False,False,False
308,15.4570437,36.3981604,False,False,False,False,False,False,False,False,False,False,True
309,15.4570437,36.3982221,False,False,False,False,False,False,False,False,False,False,True
310,15.4506503,36.3982206,False,False,False,False,False,False,True,False,False,False,False
311,15.5286633,32.5339615,False,False,False,False,False,False,False,False,False,False,True
312,15.6338602,32.6092137,False,False,False,False,False,False,False,False,False,True,False
313,12.7097033,22.1589333,False,False,False,False,False,False,False,False,False,True,False
314,15.5078674,32.490261,False,False,False,False,False,False,False,False,False,False,True
315,15.482555,32.4998888,False,False,False,False,False,False,False,False,False,False,True
316,15.4513121,32.4941864,False,False,False,False,False,False,False,False,False,False,True
317,15.5255143,32.5892103,False,False,False,False,False,False,False,False,False,True,False
318,15.5328121,32.4950638,False,False,False,False,False,False,False,False,False,False,True
319,15.5349379,32.4944382,False,False,False,False,False,False,False,False,False,False,True
320,15.534687,32.4954376,False,False,False,False,False,False,False,False,False,False,True
321,15.5312463,32.4969927,False,False,False,False,False,False,False,False,False,False,True
